hypothesis_id,comparison,baseline_backend,candidate_backend,observable,channel_kind,channel_index,time,baseline_value,candidate_value,abs_error,drift_kind,warning_threshold,fail_threshold,verdict
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,zz_correlator,bond,1,0.25,-0.848275956684,-0.84765625,0.0006197066840000209,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,zz_correlator,bond,1,0.25,-0.84765625,-0.787109375,0.060546875,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,zz_correlator,bond,1,0.5,-0.481113417027,-0.46484375,0.016269667027,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,zz_correlator,bond,1,0.5,-0.481113417027,-0.50390625,0.022792832973,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,zz_correlator,bond,1,0.5,-0.50390625,-0.46484375,0.0390625,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,zz_correlator,bond,1,1.0,0.155816617244,0.15234375,0.0034728672440000052,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,zz_correlator,bond,1,1.0,0.155816617244,0.154296875,0.0015197422440000052,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,zz_correlator,bond,1,1.0,0.154296875,0.15234375,0.001953125,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,zz_correlator,bond,2,0.0,1.0,0.994140625,0.005859375,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,zz_correlator,bond,2,0.0,1.0,1.0,0.0,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,zz_correlator,bond,2,0.0,1.0,0.994140625,0.005859375,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,zz_correlator,bond,2,0.25,0.849795533015,0.78125,0.068545533015,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,zz_correlator,bond,2,0.25,0.849795533015,0.833984375,0.015811158014999993,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,zz_correlator,bond,2,0.25,0.833984375,0.78125,0.052734375,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,zz_correlator,bond,2,0.5,0.503240843255,0.47265625,0.03058459325499996,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,zz_correlator,bond,2,0.5,0.503240843255,0.4921875,0.011053343254999959,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,zz_correlator,bond,2,0.5,0.4921875,0.47265625,0.01953125,noise_drift,0.12,0.28,pass
gaugegap-0001,shot_sampler:depolarizing_vs_local_statevector,local_statevector,shot_sampler:depolarizing,zz_correlator,bond,2,1.0,0.0600882779308,0.09375,0.0336617220692,abs_error,0.12,0.28,pass
gaugegap-0001,shot_sampler:none_vs_local_statevector,local_statevector,shot_sampler:none,zz_correlator,bond,2,1.0,0.0600882779308,0.09765625,0.0375679720692,shot_drift,0.08,0.18,pass
gaugegap-0001,shot_sampler:depolarizing_vs_shot_sampler:none,shot_sampler:none,shot_sampler:depolarizing,zz_correlator,bond,2,1.0,0.09765625,0.09375,0.00390625,noise_drift,0.12,0.28,pass
